year,average_temp
2012,18.557335258564102
2013,18.64174675774359
2014,18.81175315110051
2015,18.972765356410257
2016,19.060713842564102
2017,18.924197065148718
2018,18.953028935128206
2019,19.12994777830769
2020,19.114146768871795
2021,18.953743138923077
2022,18.981212738948717
2023,19.395912240358975
2024,19.395912240358975
