year,gmsl
2012,2100.4700000000003
2013,2422.56
2014,2432.17
2015,2704.04
2016,3073.61
2017,2985.4700000000003
2018,3062.2200000000003
2019,3349.51
2020,3513.96
2021,3587.44
2022,3736.9300000000003
